image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,525,179,640,445,0,0.6445730924606323,640,640
view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,0,203,95,467,0,0.9463493824005127,640,640
view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,335,174,521,442,0,0.9947257041931152,640,640
view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_3151+FRANKLIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,97,156,329,459,0,0.997101366519928,640,640
view_vulnerable_10_3_101+PARNASSUS+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_101+PARNASSUS+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,571,0,640,493,0,0.4118596613407135,640,640
view_vulnerable_10_3_101+PARNASSUS+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_101+PARNASSUS+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,32,0,607,496,0,0.9947131276130676,640,640
view_vulnerable_10_3_501+28TH+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_501+28TH+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,140,50,625,507,0,0.9975967407226562,640,640
view_vulnerable_10_3_828+ANZA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_828+ANZA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,369,187,639,487,0,0.9690753817558289,640,640
view_vulnerable_10_3_828+ANZA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_828+ANZA+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,22,83,356,468,0,0.9889827966690063,640,640
view_vulnerable_10_3_630+LAKE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_630+LAKE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,465,187,636,441,0,0.9140636920928955,640,640
view_vulnerable_10_3_630+LAKE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_630+LAKE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,0,167,189,447,0,0.9922102093696594,640,640
view_vulnerable_10_3_630+LAKE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_630+LAKE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,192,108,450,462,0,0.9996004700660706,640,640
view_vulnerable_10_3_3294+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_3294+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,554,161,639,455,0,0.186961829662323,640,640
view_vulnerable_10_3_3294+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_3294+CLAY+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,11,85,508,450,0,0.9940671920776367,640,640
view_vulnerable_10_3_50+CRESTLINE+DR+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_50+CRESTLINE+DR+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,0,123,287,446,0,0.9913482069969177,640,640
view_vulnerable_10_3_50+CRESTLINE+DR+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,/home/muehlemann/Documents/Insight/EQanalytics/Data/Street_View_Images/vulnerable/Work-Complete-CFC-Issued/view_vulnerable_10_3_50+CRESTLINE+DR+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,272,153,596,452,0,0.9915909767150879,640,640
